ID	populations
YE488	maize
YE515	maize
YE52106	maize
YE8001	maize
YU374	maize
YU87-1	maize
Z2018F	maize
ZAC546-M	maize
ZB648	maize
ZH68	maize
ZHENG22	maize
ZHENG28	maize
ZHENG29	maize
ZHENG30	maize
ZHENG32	maize
ZHENG35	maize
ZHENG58	maize
ZHENG653	maize
ZHI41	maize
ZHONG69	maize
ZI330	maize
ZONG3	maize
ZONG31	maize
ZZ01	maize
ZZ03	maize
